input_street,input_city,input_county,input_state,most_sim_street,sim_score,mostsimstreet_id,highway,lanes,oneway
Camino del Rey,Bonsall,San Diego,CA,Camino del Rey,100,594063393,secondary,Not_Present_Value,no
Avenue D,Rochester,Monroe,NY,Avenue D,100,1114897695,tertiary,Not_Present_Value,Not_Present_Value
Broadway,Burlingame,San Mateo,CA,Broadway,100,592242098,secondary,3,yes
Fairfax Pike,Stephens City,Frederick,VA,Fairfax Pike,100,55327250,primary,2,Not_Present_Value
Gallatin Pike,Nashville,Davidson,TN,Gallatin Pike,100,633979436,secondary,Not_Present_Value,Not_Present_Value
El Ricon Way,Sacramento,Sacramento,CA,El Ricon Way,100,10507697,residential,Not_Present_Value,Not_Present_Value
New York State Thruway,West Nyack,Rockland,NY,New York State Thruway,100,1062935528,motorway,5,yes
Sumneytown Pike,Lansdale,Montgomery,PA,Sumneytown Pike,100,637092550,primary,2,Not_Present_Value
State Road 52,Hudson,Pasco,FL,State Road 52,100,284934446,primary,3,yes
Old US 41,Fort Myers,Lee,FL,Old US 41,100,11018421,residential,Not_Present_Value,Not_Present_Value
Crosstown Connection,Schenectady,Schenectady,NY,Crosstown Connection,100,249123952,trunk,2,yes
Sherman Way,Van Nuys,Los Angeles,CA,Sherman Way,100,676312263,primary,3,yes
Hillsboro Pike,Nashville,Davidson,TN,Hillsboro Pike,100,1053516276,primary,3,yes
State Road 54,Wesley Chapel,Pasco,FL,State Road 54,100,815120657,primary,1,yes
The Fairway,Jenkintown,Montgomery,PA,The Fairway,100,1078464785,secondary,2,yes
County Road 98,Davis,Yolo,CA,County Road 98,100,10745311,secondary,Not_Present_Value,Not_Present_Value
New York State Thruway,Southfields,Orange,NY,New York State Thruway,100,38220165,motorway,3,yes
Pioneer Way,Gig Harbor,Pierce,WA,Pioneer Way,100,12221333,secondary,2,Not_Present_Value
New York State Thruway,Kingston,Ulster,NY,New York State Thruway,100,239449412,motorway,2,yes
Highway 292,Inman,Spartanburg,SC,Highway 292,100,155511723,secondary,Not_Present_Value,Not_Present_Value
Broadway,Gary,Lake,IN,Broadway,100,60862572,primary,3,yes
Fruitville Pike,Lancaster,Lancaster,PA,Fruitville Pike,100,1164863765,secondary,2,Not_Present_Value
New York State Thruway,Yonkers,Westchester,NY,New York State Thruway,100,1060438163,motorway,3,yes
State Route 3,Clifton,Passaic,NJ,State Route 3,100,968512581,trunk,3,yes
Capital Beltway,Greenbelt,Prince George's,MD,Capital Beltway,100,870733727,motorway,4,yes
New York State Thruway,Wallkill,Orange,NY,New York State Thruway,100,637139561,motorway,2,yes
New York State Thruway,Nyack,Rockland,NY,New York State Thruway,100,683384722,motorway,4,yes
